event_key,event_name,start_date,end_date,event_location,event_type,event_location-size
682,International Jazz Festival,21/06/2017,01/07/2017,Vancouver,event,675218
683,PuSh International Performing Arts Festival,21/01/2017,09/02/2017,Vancouver,event,675218
684,TED Conference,20/04/2017,24/04/2017,Vancouver,event,675218
685,Vancouver Craft Beer Week,29/05/2017,07/06/2017,Vancouver,event,675218
686,Vancouver Folk Music Festival,17/07/2017,19/07/2017,Vancouver,event,675218
687,Vancouver International Film Festival (VIFF),24/09/2017,09/10/2017,Vancouver,event,675218
688,Vancouver International Wine Festival,22/02/2017,01/03/2017,Vancouver,event,675218
689,Vancouver Opera Festival,22/02/2017,01/05/2017,Vancouver,event,675218
690,Vancouver Pride Festival,02/08/2017,02/08/2017,Vancouver,event,675218
691,Aboriginal Day,21/06/2016,21/06/2016,Domestic,holiday,
692,Boxing Day,26/12/2016,26/12/2016,Domestic,holiday,
693,BUILDEX Vancouver,12/02/2016,13/02/2016,Vancouver,event,631490
694,Canada Day,01/07/2016,01/07/2016,Domestic,holiday,
695,Canada Day Celebrations,01/07/2016,01/07/2016,Vancouver,event,631490
696,Christmas Day,25/12/2016,25/12/2016,Domestic,holiday,
697,Civic Holiday,03/08/2016,03/08/2016,Domestic,holiday,
698,Easter Monday,13/04/2016,13/04/2016,Domestic,holiday,
699,Family Day,17/02/2016,17/02/2016,Domestic,holiday,
700,Father's Day,21/06/2016,21/06/2016,Domestic,holiday,
701,Good Friday,10/04/2016,10/04/2016,Domestic,holiday,
702,Heritage Day,17/02/2016,17/02/2016,Domestic,holiday,
703,Islander Day,17/02/2016,17/02/2016,Domestic,holiday,
704,Labour Day,07/09/2016,07/09/2016,Domestic,holiday,
705,Leap Day,29/02/2016,29/02/2016,Domestic,holiday,
706,Louis Riel Day,17/02/2016,17/02/2016,Domestic,holiday,
707,Mother's Day,10/05/2016,10/05/2016,Domestic,holiday,
708,New Year's Day,01/01/2016,01/01/2016,Domestic,holiday,
709,New Year's Eve,31/12/2016,31/12/2016,Vancouver,holiday,631490
710,Remembrance Day,11/11/2016,11/11/2016,Domestic,holiday,
711,Remembrance Day Parade and Service,11/11/2016,11/11/2016,Vancouver,event,631490
712,Sidelaunch Days,10/08/2016,11/08/2016,Domestic,holiday,
713,St. Jean Baptiste Day,24/06/2016,24/06/2016,Domestic,holiday,
714,St. Patrick's Day,17/03/2016,17/03/2016,Domestic,holiday,
715,Thanksgiving,12/10/2016,12/10/2016,Domestic,holiday,
